date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:18	6865/6865	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2014%20Dec%202019%2017:19:28%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/js/scripts.js	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/js/scripts.js	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:22	173930/173930	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2017:05:27%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/blog/1.jpg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/blog/1.jpg	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:23	174996/174996	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2017:05:30%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/blog/2.jpg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/blog/2.jpg	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:28	56108/56108	---M--	200	added ('OK')	font/woff	date:Wed,%2013%20Feb%202019%2021:25:39%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/fonts/themify.woff	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/fonts/themify.woff	(from http://duruthemes.com/demo/html/togo/onepage-dark/assets/css/themify-icons.css)
13:51:33	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Feb%202019%2021:25:37%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/fonts/themify.eot	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/fonts/themify.eot	(from http://duruthemes.com/demo/html/togo/onepage-dark/assets/css/themify-icons.css)
13:51:33	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Feb%202019%2021:25:37%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/fonts/themify.eot?	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/fonts/themifyd41d.eot	(from http://duruthemes.com/demo/html/togo/onepage-dark/assets/css/themify-icons.css)
13:51:33	78584/78584	---M--	200	added ('OK')	font/ttf	date:Wed,%2013%20Feb%202019%2021:25:36%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/fonts/themify.ttf	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/fonts/themify.ttf	(from http://duruthemes.com/demo/html/togo/onepage-dark/assets/css/themify-icons.css)
13:51:36	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Sep%202020%2016:51:34%20GMT	http://ledthanhdat.vn/kunka/assets/images/close.png	C:/My%20Web%20Sites/Website%20Template/ledthanhdat.vn/kunka/assets/images/close.2e.delayed	(from http://duruthemes.com/demo/html/togo/onepage-dark/assets/css/YouTubePopUp.css)
13:51:38	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Sep%202020%2016:51:37%20GMT	https://ledthanhdat.vn/kunka/assets/images/close.png	C:/My%20Web%20Sites/Website%20Template/ledthanhdat.vn/kunka/assets/images/close.2f.delayed	(from http://duruthemes.com/demo/html/togo/onepage-dark/assets/css/YouTubePopUp.css)
13:51:39	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Sep%202020%2016:51:38%20GMT	http://ledthanhdat.vn/kunka/assets/css/owl.video.play.png	C:/My%20Web%20Sites/Website%20Template/ledthanhdat.vn/kunka/assets/css/owl.video.play.png	(from http://duruthemes.com/demo/html/togo/onepage-dark/assets/css/owl.carousel.min.css)
